Protein,Partition_type,Curve_type,p_value,test_statistic,test_result,is_significant
Cyclin_D1,half,Disease_Free,0.693689654531,0.155120097569,Cannot Reject Null,False
Cyclin_D1,quarter,Disease_Free,0.550708939842,0.356048661009,Cannot Reject Null,False
Cyclin_E1,half,Overall,0.1379093118,2.20113331978,Cannot Reject Null,False
Cyclin_E1,quarter,Overall,0.771149324963,0.0846064379747,Cannot Reject Null,False
Cyclin_E1,half,Disease_Free,0.185152690924,1.75577250302,Cannot Reject Null,False
Cyclin_E1,quarter,Disease_Free,0.377753886949,0.777998769042,Cannot Reject Null,False
DJ-1,half,Overall,0.104757332274,2.63158133588,Cannot Reject Null,False
DJ-1,quarter,Overall,0.0126302719772,6.22017371651,Reject Null,True
DJ-1,half,Disease_Free,0.472610129505,0.515866807437,Cannot Reject Null,False
DJ-1,quarter,Disease_Free,0.640550763508,0.218022577157,Cannot Reject Null,False
Dvl3,half,Overall,0.472416061538,0.516319158817,Cannot Reject Null,False
Dvl3,quarter,Overall,0.848901222313,0.0362980893145,Cannot Reject Null,False
Dvl3,half,Disease_Free,0.742473309872,0.107964692297,Cannot Reject Null,False
Dvl3,quarter,Disease_Free,0.317321668404,0.999953877546,Cannot Reject Null,False
E-Cadherin,half,Overall,0.436613501143,0.605166587684,Cannot Reject Null,False
E-Cadherin,quarter,Overall,0.504582903322,0.445284322715,Cannot Reject Null,False
E-Cadherin,half,Disease_Free,0.494922844836,0.465806245546,Cannot Reject Null,False
E-Cadherin,quarter,Disease_Free,0.782747034513,0.0760330760871,Cannot Reject Null,False
eEF2,half,Overall,0.427316281323,0.630106419218,Cannot Reject Null,False
eEF2,quarter,Overall,0.0242242206577,5.07850701273,Reject Null,True
eEF2,half,Disease_Free,0.906658287164,0.0137486452369,Cannot Reject Null,False
eEF2,quarter,Disease_Free,0.154555440424,2.02670435109,Cannot Reject Null,False
eEF2K,half,Overall,0.361510516931,0.832639090505,Cannot Reject Null,False
eEF2K,quarter,Overall,0.552087649589,0.353590480216,Cannot Reject Null,False
eEF2K,half,Disease_Free,0.429818005348,0.623315180824,Cannot Reject Null,False
eEF2K,quarter,Disease_Free,0.984812557726,0.000362361136749,Cannot Reject Null,False
EGFR_pY1068,half,Overall,0.0062456836403,7.47801654027,Reject Null,True
EGFR_pY1068,quarter,Overall,0.00163094952629,9.92447962199,Reject Null,True
EGFR_pY1068,half,Disease_Free,0.397519189382,0.715817779041,Cannot Reject Null,False
EGFR_pY1068,quarter,Disease_Free,0.483860611487,0.490149526948,Cannot Reject Null,False
EGFR_pY1173,half,Overall,0.73742319316,0.112404398335,Cannot Reject Null,False
EGFR_pY1173,quarter,Overall,0.690664359992,0.158367098873,Cannot Reject Null,False
EGFR_pY1173,half,Disease_Free,0.00589335034474,7.58262665246,Reject Null,True
EGFR_pY1173,quarter,Disease_Free,0.0191811735485,5.48492220027,Reject Null,True
eIF4E,half,Overall,0.0300718835593,4.70517823555,Reject Null,True
eIF4E,quarter,Overall,0.529121950255,0.396077564692,Cannot Reject Null,False
eIF4E,half,Disease_Free,0.473318615927,0.514217951237,Cannot Reject Null,False
eIF4E,quarter,Disease_Free,0.0247510228689,5.04122210385,Reject Null,True
ER-alpha,half,Overall,0.0809960137902,3.04480156807,Cannot Reject Null,False
ER-alpha,quarter,Overall,0.00179103370675,9.75224995546,Reject Null,True
ER-alpha,half,Disease_Free,0.874849962562,0.0248065878984,Cannot Reject Null,False
ER-alpha,quarter,Disease_Free,0.760891690734,0.092604605326,Cannot Reject Null,False
ER-alpha_pS118,half,Overall,0.331056374736,0.944761233722,Cannot Reject Null,False
ER-alpha_pS118,quarter,Overall,0.335353146479,0.928115284825,Cannot Reject Null,False
ER-alpha_pS118,half,Disease_Free,0.526233328837,0.401659762786,Cannot Reject Null,False
ER-alpha_pS118,quarter,Disease_Free,0.463985566149,0.536263081638,Cannot Reject Null,False
ERK2,half,Overall,0.977762072919,0.000776999889616,Cannot Reject Null,False
ERK2,quarter,Overall,0.221977127082,1.49154352832,Cannot Reject Null,False
ERK2,half,Disease_Free,0.85547452133,0.0331742076207,Cannot Reject Null,False
ERK2,quarter,Disease_Free,0.0141792004192,6.01569410143,Reject Null,True
Fibronectin,half,Overall,0.527065856587,0.400045312402,Cannot Reject Null,False
Fibronectin,quarter,Overall,0.0793582603907,3.07799581593,Cannot Reject Null,False
Fibronectin,half,Disease_Free,0.884360263596,0.0211539804972,Cannot Reject Null,False
Fibronectin,quarter,Disease_Free,0.195821387515,1.67326797354,Cannot Reject Null,False
FOXO3a,half,Overall,0.0878838544496,2.91271426321,Cannot Reject Null,False
FOXO3a,quarter,Overall,0.0024705411295,9.16228336569,Reject Null,True
FOXO3a,half,Disease_Free,0.294738518865,1.09784956873,Cannot Reject Null,False
FOXO3a,quarter,Disease_Free,0.40946364671,0.680357502223,Cannot Reject Null,False
GAB2,half,Overall,0.789397046738,0.0713390247255,Cannot Reject Null,False
GAB2,quarter,Overall,0.687401891822,0.161912392989,Cannot Reject Null,False
GAB2,half,Disease_Free,0.589626558687,0.290927844022,Cannot Reject Null,False
